X,Y,temp,wind,rain,fire
7,5,8.2,6.7,0,0
7,4,18,0.9,0,0
7,4,14.6,1.3,0,0
8,6,8.3,4,0.2,0
8,6,11.4,1.8,0,0
8,6,22.2,5.4,0,0
8,6,24.1,3.1,0,1
8,6,8,2.2,0,0
8,6,13.1,5.4,0,0
7,5,22.8,4,0,0
7,5,17.8,7.2,0,0
7,5,19.3,4,0,0
6,5,17,6.7,0,0
6,5,21.3,2.2,0,0
6,5,26.4,4.5,0,1
6,5,22.9,5.4,0,0
5,5,15.1,5.4,0,0
8,5,16.7,4.9,0,0
6,4,15.9,4,0,0
6,4,9.3,4.5,0,0
6,4,18.3,2.7,0,0
5,4,19.1,2.7,0,0
7,4,21,4.5,0,0
7,4,19.5,5.8,0,0
7,4,23.7,5.8,0,0
7,4,16.3,5.4,0,0
7,4,19,5.8,0,0
7,4,19.4,1.3,0,0
6,3,30.2,2.7,0,1
6,3,22.8,3.6,0,0
6,3,25.4,3.6,0,0
6,3,11.2,7.6,0,0
6,3,20.6,1.8,0,0
6,3,17.7,3.6,0,0
6,3,21.2,2.7,0,0
6,3,18.2,4.5,0,0
6,3,21.7,4.5,0,0
7,4,11.3,5.4,0,0
7,3,17.8,4,0,0
4,4,14.1,2.7,0,0
4,4,23.3,3.1,0,0
4,4,18.4,6.7,0,0
4,4,16.6,5.4,0,0
4,4,19.6,2.7,0,0
4,4,12.9,4.9,0,0
5,6,25.9,4,0,1
5,6,14.7,3.6,0,0
6,6,23,3.1,0,0
4,4,11.8,1.8,0,0
4,4,11,5.8,0,0
4,4,20.8,1.3,0,0
4,3,21.5,2.2,0,0
4,3,20.4,4.9,0,0
4,3,20.4,4.9,0,0
4,3,17.6,3.6,0,0
4,3,27.7,2.2,0,0
4,3,17.8,4.9,0,0
4,3,13.8,2.7,0,0
2,2,13.9,5.4,0,0
2,2,12.3,0.9,0,0
2,2,11.5,5.8,0,0
2,2,5.5,6.3,0,0
2,2,18.8,4.9,0,0
2,2,20.8,2.7,0,0
2,2,23.1,3.1,0,0
2,2,18.6,4.5,0,0
2,2,23,4.5,0,0
2,2,19.6,5.4,0,0
2,2,19.6,6.3,0,0
4,5,17.2,4.5,0,0
4,5,15.8,7.6,0,0
4,5,17.7,3.6,0,0
5,4,15.6,6.3,0,0
5,4,17.3,4.5,0,0
5,4,27.6,1.3,0,1
9,9,6.7,3.1,0,0
9,9,15.7,3.1,0,0
1,3,8.3,3.1,0,0
1,2,14.7,2.7,0,0
1,2,21.6,6.7,0,0
1,2,19.5,6.3,0,0
1,2,17.9,2.2,0,0
1,2,18.6,4.5,0,0
1,2,16.6,0.9,0,0
1,2,20.2,3.6,0,0
1,2,21.5,0.9,0,0
1,2,25.4,2.2,0,1
1,2,22.4,2.2,0,0
1,2,25.3,3.6,0,1
6,5,17.4,4.9,0,0
6,5,14.7,5.8,0,0
8,6,17.4,5.4,0,0
8,6,20.8,6.3,0,0
8,6,18.2,4.9,0,0
8,6,23.4,2.7,0,0
4,4,17.8,1.3,0,0
3,4,12.7,1.8,0,0
3,4,17.4,5.4,0,0
3,4,11.6,4.5,0,0
3,4,19.8,5.4,0,0
3,4,19.8,5.4,0,0
3,4,14.4,5.4,0,0
2,4,20.1,4,0,0
2,4,24.1,4.5,0,1
2,4,5.3,3.1,0,0
4,5,12.7,6.3,0,0
4,5,18.2,3.1,0,0
4,5,21.4,3.1,0,0
4,5,20.3,3.1,0,0
4,5,17.4,5.4,0,0
4,4,13.7,5.8,0,0
3,4,18.8,4.5,0,0
3,4,22.8,3.6,0,0
3,4,18.9,2.7,0,0
3,4,15.8,7.6,0,0
3,5,15.5,6.3,0,0
3,4,11.6,6.3,0,0
3,4,15.2,4.9,0,0
3,4,10.6,4,0,0
3,4,19.6,3.1,0,0
3,4,10.3,2.2,0,0
3,4,17.1,5.4,0,0
3,4,22.5,5.4,0,0
3,4,17.9,3.1,0,0
3,4,19.8,5.4,0,0
3,4,20.6,5.4,0,0
3,5,9,2.2,0,0
3,5,17.2,3.1,0,0
3,5,15.9,3.6,0,0
2,5,15.4,0.9,0,0
4,6,15.4,2.7,0,0
4,6,14,3.1,0,0
4,6,10.6,4.9,0,0
4,6,17.6,3.1,0,0
3,5,14.9,2.7,0,0
3,5,17.6,5.8,0,0
3,6,17.2,1.3,0,0
3,6,15.6,3.1,0,0
9,9,18,2.7,0,0
1,4,21.7,2.2,0,0
2,5,21.9,1.8,0,0
1,2,23.3,4.5,0,0
8,6,21.2,8.9,0,0
1,2,16.6,5.4,0,0
2,5,23.8,5.4,0,0
6,5,27.4,4,0,0
5,4,13.2,5.4,0,0
8,3,24.2,3.6,0,0
2,2,17.4,6.7,0,0
8,6,23.7,4.5,0,0
6,5,23.2,5.4,0,0
9,9,24.8,2.2,0,0
3,4,24.6,1.8,0,0
5,4,20.1,4.9,0,0
1,5,29.6,2.7,0,1
7,4,16.4,1.3,0,0
2,4,28.6,2.2,0,1
2,2,18.4,3.6,0,0
2,4,20.5,4,0,0
7,4,19,5.8,0,0
7,4,16.1,3.1,0,0
6,4,20.3,4,0,0
6,3,15.2,8.5,0,0
8,6,17.8,1.8,0,0
8,5,17.8,2.2,0,0
6,5,5.3,4.5,0,0
6,5,16.6,0.9,0,0
6,5,23.4,4.5,0,0
6,5,14.6,9.4,0,0
8,6,20.7,2.2,0,0
5,4,21.9,1.8,0,0
8,6,17.4,4,0,0
7,4,20.1,5.4,0,0
4,4,17.7,2.2,0,0
1,4,14.2,1.8,0,0
1,4,20.3,4.9,0,0
6,5,5.8,5.8,0,0
2,5,19.2,2.7,0,0
2,5,18.3,2.2,0,0
8,6,14.4,5.4,0,0
1,3,23.9,6.7,0,0
8,6,19.1,4,0,0
5,4,12.4,2.2,0,0
7,4,16.8,4.5,0,0
8,6,20.8,4.9,0,0
2,5,17.6,3.1,0,0
8,6,11.5,5.8,0,0
1,5,21,2.2,0,0
6,4,13.3,0.9,0,0
7,4,11.5,4,0,0
6,5,11.7,4,0,0
2,5,24.2,2.7,0,1
2,2,24.6,4.5,0,1
4,5,24.3,4,0,1
2,2,24.6,4.5,0,1
2,5,23.5,5.4,0,0
6,5,5.8,5.8,0,0
4,5,21.5,0.9,0,0
3,4,13.9,6.3,0,0
2,4,22.6,3.6,0,0
1,5,21.6,2.2,0,0
6,5,12.4,3.6,0,0
7,4,8.8,2.2,0,0
8,6,20.2,2.7,0,0
5,6,15.1,4,0,0
4,5,22.1,1.8,0,0
2,2,22.9,7.2,0,0
7,5,20.7,2.2,0,0
6,5,19.6,6.3,0,0
8,3,23.2,4.9,0,0
4,4,18.4,3.1,0,0
7,4,5.1,5.8,0,0
7,4,20.1,4.9,0,0
7,3,11,5.8,0,0
4,4,17,4.9,0,0
4,4,17,4.9,0,0
4,4,16.9,1.3,0,0
1,3,12.4,6.3,0,0
4,5,19.4,1.3,0,0
6,5,15.2,3.1,0,0
8,6,16.2,3.1,0,0
3,4,18.6,3.6,0,0
4,3,11,5.8,0,0
2,2,13.4,3.6,0,0
7,4,15.4,4.5,0,0
4,4,22.9,4.9,0,0
7,5,16.1,4,0,0
8,6,20.1,4.5,0,0
4,6,28.3,3.1,0,1
8,6,16.4,4,0,0
4,4,26.4,4.5,0,1
1,5,27.8,3.1,0,1
6,4,18.7,2.7,0,0
9,4,24.3,3.1,0,0
4,5,17.7,3.1,0,0
8,6,19.6,5.8,0,0
2,2,18.2,1.8,0,0
1,2,18.8,2.2,0,0
6,5,25.1,4,0,1
7,5,13.4,1.8,0,0
6,3,15.2,2.7,0,0
4,4,16.7,3.1,0,0
2,4,15.4,4,0,0
7,4,21.9,7.6,1,0
2,4,22.4,7.6,0,0
3,4,26.8,6.3,0,1
5,4,25.7,5.4,0,0
2,4,20.7,2.2,0,0
8,6,28.7,2.7,0,1
3,4,21.7,0.4,0,0
8,5,26.8,3.1,0,0
8,5,24,3.1,0,0
6,5,22.1,3.6,0,0
7,4,21.4,2.7,0,0
6,3,18.9,3.1,0,0
2,5,22.3,4,0,0
8,6,23.9,2.2,0,0
4,3,21.4,2.7,0,0
3,4,20.6,0.9,0,0
7,4,23.7,1.8,0,0
2,4,28.3,4,0,1
3,4,11.2,7.6,0,0
2,4,21.4,3.1,0,0
6,3,19.3,3.6,0,0
4,4,21.8,3.1,0,0
4,4,22.1,7.6,0,0
6,5,19.4,4,0,0
2,2,23.7,3.1,0,0
3,4,21,3.1,0,0
4,4,19.1,2.7,0,0
2,2,21.8,3.1,0,0
8,6,20.1,4.5,0,0
2,5,20.2,4,0,0
4,6,4.8,8.5,0,0
8,6,5.1,8,0,0
4,6,5.1,4.9,0,0
4,4,4.6,8.5,0,0
3,4,4.6,8.5,0,0
4,4,4.6,8.5,0,0
4,4,4.6,8.5,0,0
4,6,2.2,4.9,0,0
6,5,5.1,8.5,0,0
6,3,4.2,4,0,0
3,4,8.8,3.1,0,0
5,4,7.5,8,0,0
2,5,23.4,6.3,0,0
7,6,12.6,7.6,0.2,0
7,4,22.1,2.7,0,0
7,4,24.2,1.8,0,1
7,4,24.3,1.8,0,1
2,5,18.7,1.8,0,0
9,4,25.3,0.9,0,0
4,5,22.9,1.3,0,0
7,6,26.9,5.4,0,1
8,6,17.1,3.6,0,0
7,5,22.2,1.3,0,0
6,4,14.3,1.8,0,0
8,6,15.4,2.2,0,0
8,6,19.6,4.9,0,0
6,5,10.6,2.7,0,0
6,5,20.7,4.9,0,0
6,5,19.1,5.4,0,0
3,6,19.2,4.5,0,0
3,6,19.2,4.5,0,0
6,5,11.3,4.9,0,0
1,4,19,2.2,0,0
7,4,17.1,5.4,0,0
3,4,23.8,3.6,0,0
2,4,16,1.8,0,0
2,4,24.9,2.2,0,1
7,4,25.3,2.7,0,1
6,3,24.8,1.8,0,1
2,4,12.2,6.3,0,0
6,5,24.3,4.9,0,1
4,4,19.7,1.8,0,0
3,4,18.5,2.7,0,0
4,5,18.6,5.8,0,0
4,4,19.2,4.9,0,0
6,5,21.6,2.2,0,0
5,4,21.6,6.3,0,0
6,3,18.9,7.2,0,0
1,4,16.8,4,0,0
6,5,16.8,4,0,0
3,5,12.9,2.7,0,0
6,5,13.7,1.8,0,0
1,4,24.2,3.1,0,1
5,4,24.1,3.1,0,1
6,5,21.2,2.2,0,0
6,5,19.7,1.8,0,0
4,3,23.5,4,0,0
3,3,24.2,3.1,0,1
7,4,21.5,4.5,0,0
4,4,17.1,2.2,0,0
1,4,18.1,3.1,0,0
2,3,18,5.4,0,0
4,3,9.8,1.8,0,0
7,4,19.3,2.2,0,0
6,3,23,2.2,0,0
8,6,22.7,2.2,0,0
2,4,20.4,1.8,0,0
2,5,19.3,2.2,0,0
8,6,15.7,2.2,0,0
6,3,20.6,1.8,0,0
8,6,15.9,4.5,0,0
6,3,12.2,4.9,0,0
2,2,16.8,3.1,0,0
1,4,21.3,2.2,0,0
5,4,10.1,3.6,0,0
3,4,17.4,4.5,0,0
5,4,12.8,3.6,0,0
5,4,10.1,3.6,0,0
4,4,15.4,6.3,0,0
7,4,20.6,3.6,0,0
7,4,19.8,2.7,0,0
7,4,18.7,2.2,0,0
4,4,20.8,4.9,0,0
4,4,20.8,4.9,0,0
6,3,15.9,3.6,0,0
6,3,19.7,2.7,0,0
1,4,21.1,2.2,0,0
6,5,18.4,2.2,0,0
4,3,17.3,4,0,0
7,4,15.2,3.1,0,0
4,3,15.9,2.2,0,0
6,5,21.1,2.7,0,0
6,5,19.6,3.1,0,0
4,5,15.9,5.4,0,0
4,5,16.4,3.6,0,0
6,5,16.8,4.9,0,0
4,5,13.8,7.6,0,0
7,4,13.8,7.6,0,0
3,4,14.2,4,0,0
4,5,10.4,0.9,0,0
5,4,20.3,2.7,0,0
6,5,10.3,4,0,0
6,5,15.4,4.9,0,0
8,6,21.1,2.2,0,0
2,2,21.9,2.2,0,0
6,5,8.7,5.8,0,0
4,5,5.2,0.9,0,0
5,4,19.3,7.2,0,0
8,6,16.2,2.7,0,0
8,6,28.2,1.8,0,1
9,6,20.5,2.7,0,0
8,4,21.3,4.5,0,0
2,4,20.9,2.2,0,0
3,4,20.6,5.4,0,0
5,5,11.6,5.4,0,0
6,4,23.3,3.1,0,0
7,4,23.3,3.1,0,0
7,4,7.5,6.3,0,0
8,6,20.7,2.7,0,0
1,3,21.9,4,0,0
2,4,15.2,7.6,0,0
6,5,5.3,1.8,0,0
4,5,10.1,1.8,0,0
4,3,20.4,4.9,0,0
5,6,24.3,3.6,0,1
1,2,25.9,3.1,0,1
9,5,28,4.5,0,0
9,5,28,4.5,0,0
3,4,22.8,4,0,0
9,9,25,4,0,0
8,6,21.3,3.6,0,0
2,4,21.8,2.2,0,0
2,2,27.9,2.2,0,1
6,5,17,4.9,0,0
4,5,14.2,4,0,0
4,3,19.9,3.1,0,0
1,4,23.4,5.4,0,0
6,3,14.7,2.7,0,0
7,4,8.2,9.4,0,0
9,4,22.8,4.5,0,0
7,5,26.4,3.6,0,0
5,4,24.1,4,0,0
8,6,27.5,4.9,0,1
6,3,26.3,3.1,0,0
6,5,13.8,5.8,0,0
2,4,24.9,5.4,0,1
2,5,24.8,4,0,1
8,8,26.2,4.5,0,1
2,4,30.8,4.5,0,1
8,6,29.3,3.6,0,1
1,3,22.3,4,0,0
8,6,26.9,3.6,0,1
2,2,20.4,2.2,0,0
8,6,20.4,2.2,0,0
2,4,27.9,2.2,0,1
1,3,26.2,5.8,0,1
3,4,24.6,4,0,0
7,4,19.4,3.6,0,0
1,3,23.3,4,0,0
8,6,23.9,6.7,0,0
2,4,20.9,4.9,0,0
1,4,22.2,3.6,0,0
2,5,23.8,1.8,0,0
8,6,26.8,1.3,0,1
8,6,14.2,2.7,0,0
2,5,23.6,4,0,0
1,3,19.1,2.2,0,0
5,4,16.2,3.6,0,0
8,6,25.5,1.8,0,1
6,5,10.9,3.1,0,0
1,2,14.8,8,0,0
2,5,16.2,3.6,0,0
5,5,17.3,4.5,0,0
6,5,19.1,2.2,0,0
3,4,8.9,8,0,0
7,4,10.5,4,0,0
7,4,19.3,4.9,0,0
4,5,23.4,5.4,0,0
1,4,11.8,4.9,0,0
7,4,17.7,4,0,0
4,5,17.4,3.1,0,0
3,4,16.8,3.1,0,0
3,4,17.9,2.7,0,0
2,4,16.6,2.7,0,0
1,4,19.9,4,0,0
8,6,18.9,4.9,0,0
7,4,15.5,8,0,0
2,5,18.9,4.9,0,0
8,6,18.9,4.9,0,0
1,4,14.5,7.6,0,0
6,5,4.6,6.3,0,0
6,4,5.1,5.4,0,0
2,2,4.6,0.9,0,0
6,5,10.2,5.8,0,0
3,4,11.2,5.4,0,0
6,5,13.3,3.6,0,0
6,3,13.7,9.4,0,0
5,4,17.6,5.8,0,0
4,3,18,4,0,0
8,3,14.3,4,0,0
9,4,24.5,3.1,0,0
4,3,26.4,2.7,0,0
2,5,22.7,9.4,0,0
4,3,27.2,1.3,0,0
4,3,26.1,4,0,0
7,4,18.2,4.5,0,0
7,4,22.6,4.9,0,0
9,9,30.2,4.5,0,0
4,3,30.2,4.9,0,0
3,4,23.4,5.8,0,0
8,6,31,5.4,0,0
2,5,33.1,4,0,1
2,4,30.6,3.6,0,1
5,4,24.1,6.3,0,0
5,4,26.4,3.6,0,1
4,4,19.4,7.6,0,0
4,4,20.6,1.3,0,0
4,4,28.7,4,0,1
4,4,32.4,4.5,0,1
1,3,32.4,2.2,0,1
1,3,27.5,4.5,0,1
6,6,30.8,4.9,0,1
6,6,23.9,2.2,0,0
4,5,32.6,3.1,0,1
3,4,32.3,2.2,0,1
6,5,33.3,2.7,0,1
7,5,27.3,4.9,6.4,1
8,6,21.6,4.9,0.8,0
7,5,21.6,4.9,0.8,0
4,4,20.7,4.9,0.4,0
2,4,29.2,4.9,0,1
4,3,28.9,4.9,0,1
1,2,26.7,1.8,0,1
1,2,18.5,8.5,0,0
2,4,25.9,3.6,0,1
1,2,25.9,3.6,0,1
5,4,21.1,7.6,1.4,1
6,5,18.2,5.4,0,0
8,6,27.8,2.7,0,1
4,3,27.8,2.7,0,1
2,4,21.9,5.8,0,0
7,4,21.2,6.7,0,0
1,4,25.6,4,0,1
6,3,11.8,4.5,0,0
